sample,spot,u_ppm,th_ppm,th_u,group,terrane
194785,8.1,269.4,159.6,0.6,Albany-Fraser Orogen,Proterozoic Orogens
189540,21.1,15.8,287.1,18.7,Musgraves,Proterozoic Orogens
101348,4.1,949.0,596.0,0.6,Yilgarn,Archean Cratons
104970,16.1,427.0,359.0,0.8,Yilgarn,Archean Cratons
118950,20.1,272.0,87.0,0.3,Yilgarn,Archean Cratons
182475,60.1,56.5,15.5,0.3,Albany-Fraser Orogen,Proterozoic Orogens
194740,18.1,64.8,1.8,0.0,Albany-Fraser Orogen,Proterozoic Orogens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
